countries,x,y
Argentina,-36.0,-168.0
Bolivia,-52.0,6.0
Brazil,95.0,35.0
Chile,-85.0,-53.0
Colombia,-141.0,163.0
Ecuador,-169.0,130.0
Guyana,8.0,201.0
Paraguay,9.0,-47.0
Peru,-127.0,44.0
Suriname,33.0,182.0
Uruguay,25.0,-137.0
Venezuela,-70.0,217.0
