,0
0,Azerbaijan
1,Bhutan
2,Brunei
3,Jordan
4,kuwait
5,Kyrgyzstan
6,Lebanon
7,Maldives
8,Mongolia
9,Myanmar
10,Nepal
11,Oman
12,Qatar
13,Singapore
14,Syria
